
Real Valladolid  VS.  Levante:
D  2  Marc Bertrn
D  4  Miguel Flao
D  14  Javi Arribas
D  24  Damia
M  10  Francisco Pual
M  11  Sisi
M  16  Alvaro Cejudo
M  17  Juan Francisco Martnez
M  23  Raoul Loe
F  12  Joseba Llorente

Rayo Vallecano  VS.  Granada:
G  1  Rubn
D  2  Tito
D  3  Casado
D  5  Alejandro Glvez
D  16  Jordi Amat
M  8  Adrian Gonzalez
M  9  Jose Carlos da Silva
M  10  Piti
M  18  Javi Fuego
M  19  Lass
F  14  Nickie Nielsen
--------------------------
G  1  Too
D  2  Allan-Romo Nyom
D  6  Guillherme Siqueira
D  8  Inigo Lopez
D  20  Borja Gomez
M  14  Moreno Mikel Rico
M  18  Manuel Lucena
M  24  Santos Iriney
F  7  Antonio Floro Flores
F  9  Youssef El Arabi
F  19  Fabin Orellana

Real Zaragoza  VS.  Real Valladolid:
G  1  Roberto Gago
D  4  lvaro
D  12  Romaric
D  21  Abraham Minero
D  24  Milan Obradovic
M  3  Javier Paredes
M  8  Edu Oriol
M  10  Apono
M  20  Franco Zuculini
F  9  Hlder Postiga
F  11  Francisco Montas
--------------------------
G  1  Jaime Jimnez Merlo
D  2  Antonio Rukavina
D  6  Jess Rueda
D  22  Victor Perez
D  24  Mikel Balenziaga
M  4  Marc Valiente
M  10  scar Gonzlez
M  18  Alvaro Rubio
M  20  Patrick Ebert
F  9  Javi Guerra
F  14  Omar Ramos

Athletic Bilbao  VS.  Real Betis:
G  1  Gorka Iraizoz
D  6  Mikel San Jose
D  10  Oscar de Marcos
D  15  Andoni Iraola
D  18  Carlos Gurpegui
M  8  Ander Iturraspe
M  14  Markel Susaeta
M  16  Ismael Lpez Blanco
M  17  Inigo Prez
M  21  Ander Herrera
F  2  Gaizka Toquero
--------------------------
G  25  Fabricio
D  2  Francisco Chica Torres
D  5  Jos Antonio Dorado Ramrez
D  12  Paulo
D  23  Perez Nacho
M  8  Rubn Prez
M  10  Beat
M  17  Juan Carlos
M  18  Salvador Agra
M  24  Rubn Castro
F  19  Jorge Molina

Real Madrid  VS.  Valencia:
G  1  Iker Casillas
D  3  Pepe
D  4  Sergio Ramos
D  5  Fbio Coentro
D  17  lvaro Arbeloa
M  7  Cristiano Ronaldo
M  10  Mesut zil
M  14  Xabi Alonso
M  22  ngel Di Mara
M  24  Lassana Diarra
F  20  Gonzalo Higuan
--------------------------
G  1  Diego Alves
D  12  Joao Pereira
D  18  Victor Ruiz
D  20  Ricardo Costa
D  22  Jrmy Mathieu
M  5  Fernando Gago
M  7  Jonas
M  8  Sofiane Feghouli
M  17  Andrs Guardado
M  24  Tino Costa
F  9  Roberto Soldado

Barcelona  VS.  Real Sociedad:
G  1  Victor Valds
D  2  Dani Alves
D  5  Carles Puyol
D  16  Sergio Busquets
D  18  Jordi Alba
M  4  Cesc Fbregas
M  6  Xavi
M  14  Javier Mascherano
F  10  Lionel Messi
F  17  Pedro
F  37  Cristian Tello
--------------------------
G  1  Claudio Bravo
D  4  Gorka Urkola
D  15  Jon Ansotegui
D  22  Daniel Estrada
D  24  Alberto de la Bella
M  3  Mikel Gonzalez
M  5  Markel Bergara Larraaga
M  18  Gonzalo Castro Irizabal
F  7  Antoine Griezmann
F  8  Asier Illarramendi
F  10  Xabi Prieto

Levante  VS.  Atletico Madrid:
G  1  Gustavo Munua
D  4  David Navarro
D  15  Nikos Karabelas
D  18  Sergio Ballesteros
D  19  Pedro Lpez
M  7  Jose Barkero
M  8  Nabil El Zhar
M  10  Vicente Iborra de la Fuente
M  20  Juanlu
M  23  Pape Diop
F  9  Angel
--------------------------
G  13  Thibaut Courtois
D  2  Diego Godn
D  11  Cristian Rodriguez
D  17  Silvio
D  18  Daniel Daz
D  23  Miranda
M  5  Tiago
M  7  Adrin
M  10  Arda Turan
M  14  Gabi
F  9  Radamel Falcao

Celta Vigo  VS.  Malaga:
G  13  Javi Varas
D  2  Hugo Mallo
D  3  Roberto Lago
D  5  Andrs Tez
D  12  Gustavo Cabral
M  4  Borja Oubina Melendez
M  8  lex Lpez
M  10  Iago Aspas
M  14  Christian Bustos
M  24  Augusto Fernndez
F  22  Enrique De Lucas
--------------------------
G  13  Wilfredo Caballero
D  2  Jesus Gamez
D  3  Weligton
D  5  Martn Demichelis
D  15  Nacho Monreal
M  6  Ignacio Camacho
M  7  Joaqun
M  8  Jeremy Toulalan
M  22  Isco
M  27  Francisco Portillo
F  11  Seba Fernndez

Sevilla FC  VS.  Getafe:
G  13  Diego Lopez
D  2  Federico Fazio
D  3  Fernando Navarro
D  4  Emir Spahic
D  21  Cicinho
M  8  Gary Medel
M  11  Ivan Rakitic
M  15  Piotr Trochowski
F  7  Jess Navas
F  9  lvaro Negredo
F  19  Jos Antonio Reyes
--------------------------
G  1  Miguel Moya
D  2  Alexis
D  4  Miguel Torres Gmez
D  16  David Angel Abraham
D  20  Valera
M  5  Medhi Lacen
M  14  Pedro Len
M  17  Diego Castro Gimenez
M  18  Lafita
M  21  Michel
F  7  Miku

Mallorca  VS.  Espanyol:
G  13  Dudu Aouate
D  6  Antonio Lpez
D  16  Nunes
D  27  Ximo Navarro
D  28  Pedro Bigas
M  5  Toms Pina
M  7  Pereira
M  8  Emilio Nsue
M  11  Javier Moreno Marquez
F  10  Tomer Hemed
F  18  Vctor Casadess
--------------------------
G  1  Cristian Alvarez
D  6  Juan Forlin
D  15  Hctor Moreno
D  16  Jav Lpez
D  18  Joan Capdevila
M  4  Vctor Snchez
M  10  Verd
M  17  Juan Albin
M  22  Mubarak Wakaso
M  23  Cristian Gmez
F  8  lvaro Vsquez

Real Betis  VS.  Atletico Madrid:
G  1  Casto
D  3  Mario
D  16  Damien Perquis
D  22  Nlson
D  23  Perez Nacho
M  8  Rubn Prez
M  10  Beat
M  17  Juan Carlos
M  18  Salvador Agra
F  11  Pozuelo
F  24  Rubn Castro
--------------------------
G  1  Sergio Asenjo
D  2  Diego Godn
D  3  Filipe Luis
D  20  Francisco Juanfran
D  23  Miranda
M  4  Mario Surez
M  8  Ral Garca
M  10  Arda Turan
M  11  Cristian Rodriguez
M  14  Gabi
F  9  Radamel Falcao

Rayo Vallecano  VS.  Sevilla FC:
G  1  Rubn
D  3  Casado
D  9  Jose Carlos da Silva
D  19  Lass
M  2  Tito
M  16  Jordi Amat
M  17  Roberto Trashorras
M  18  Javi Fuego
M  29  Leo Baptistao
F  8  Adrian Gonzalez
F  14  Nickie Nielsen
--------------------------
G  1  Andrs Palop
D  3  Fernando Navarro
D  8  Gary Medel
D  21  Cicinho
D  24  Alberto Bota
M  4  Emir Spahic
M  11  Ivan Rakitic
M  15  Piotr Trochowski
F  7  Jess Navas
F  9  lvaro Negredo
F  14  Manu

Athletic Bilbao  VS.  Real Valladolid:
G  1  Gorka Iraizoz
D  15  Andoni Iraola
D  17  Inigo Prez
D  18  Carlos Gurpegui
D  23  Borja Ekiza
M  8  Ander Iturraspe
M  10  Oscar de Marcos
M  14  Markel Susaeta
M  16  Ismael Lpez Blanco
M  19  Iker Munian
F  20  Aritz Aduriz
--------------------------
G  1  Jaime Jimnez Merlo
D  2  Antonio Rukavina
D  4  Marc Valiente
D  6  Jess Rueda
D  17  Carlos Gonzalez Pea
M  10  scar Gonzlez
M  14  Omar Ramos
M  18  Alvaro Rubio
M  20  Patrick Ebert
M  22  Victor Perez
F  9  Javi Guerra

Levante  VS.  Espanyol:
G  1  Gustavo Munua
D  12  Juanfran
D  18  Sergio Ballesteros
D  22  Christian Lell
D  23  Pape Diop
M  5  Hector Rodas
M  8  Nabil El Zhar
M  10  Vicente Iborra de la Fuente
M  17  Theofanis Gekas
M  20  Juanlu
F  7  Jose Barkero
--------------------------
G  1  Cristian Alvarez
D  4  Vctor Snchez
D  6  Juan Forlin
D  16  Jav Lpez
