Rayo Vallecano,3-0,Levante
Espanyol,2-0,Deportivo La Corua
Real Sociedad,2-1,Sevilla FC
Deportivo La Corua,0-0,Real Valladolid
Celta Vigo,0-1,Real Betis
Real Zaragoza,0-1,Levante
Valencia,0-1,Rayo Vallecano
Real Madrid,2-2,Espanyol
Barcelona,4-1,Atletico Madrid
Getafe,1-1,Osasuna
Mallorca,0-1,Athletic Bilbao
Granada,0-0,Real Sociedad
Sevilla FC,0-2,Malaga
Rayo Vallecano,0-2,Real Zaragoza
Getafe,2-2,Granada
Real Betis,2-0,Levante
Real Sociedad,1-1,Deportivo La Corua
Atletico Madrid,2-0,Real Zaragoza
Malaga,1-3,Barcelona
Real Valladolid,3-1,Mallorca
Espanyol,1-0,Celta Vigo
Osasuna,0-0,Real Madrid
Valencia,2-0,Sevilla FC
Athletic Bilbao,1-2,Rayo Vallecano
Rayo Vallecano,3-1,Getafe
Celta Vigo,3-1,Real Valladolid
Real Madrid,4-3,Real Sociedad
Barcelona,4-0,Espanyol
Mallorca,1-1,Atletico Madrid
Levante,3-1,Athletic Bilbao
Granada,1-2,Valencia
Deportivo La Corua,1-0,Malaga
Sevilla FC,1-0,Osasuna
Real Zaragoza,1-2,Real Betis
Sevilla FC,3-0,Granada
Real Madrid,4-0,Getafe
Rayo Vallecano,3-0,Real Betis
Barcelona,5-1,Osasuna
Athletic Bilbao,3-0,Atletico Madrid
Mallorca,2-3,Malaga
Celta Vigo,1-1,Real Sociedad
Levante,2-1,Real Valladolid
Real Zaragoza,0-0,Espanyol
Deportivo La Corua,2-3,Valencia
Real Betis,1-1,Athletic Bilbao
Osasuna,2-1,Deportivo La Corua
Real Valladolid,2-0,Real Zaragoza
Atletico Madrid,2-0,Levante
Valencia,0-5,Real Madrid
Granada,2-0,Rayo Vallecano
Real Sociedad,3-2,Barcelona
Getafe,1-1,Sevilla FC
Malaga,1-1,Celta Vigo
Espanyol,3-2,Mallorca
Malaga,1-1,Real Zaragoza
Sevilla FC,2-1,Rayo Vallecano
Valencia,1-1,Barcelona
Atletico Madrid,1-0,Real Betis
Real Sociedad,3-0,Mallorca
Osasuna,1-0,Celta Vigo
Getafe,3-1,Deportivo La Corua
Espanyol,3-2,Levante
Granada,1-0,Real Madrid
Real Valladolid,2-2,Athletic Bilbao
Real Sociedad,1-1,Levante
Valencia,2-0,Mallorca
Real Valladolid,0-3,Atletico Madrid
Espanyol,1-0,Real Betis
Real Madrid,2-0,Rayo Vallecano
Getafe,3-1,Celta Vigo
Malaga,1-0,Athletic Bilbao
Granada,1-2,Barcelona
Osasuna,1-0,Real Zaragoza
Sevilla FC,3-1,Deportivo La Corua
Real Betis,0-0,Real Valladolid
Barcelona,6-1,Getafe
Real Zaragoza,1-2,Real Sociedad
Athletic Bilbao,0-4,Espanyol
Rayo Vallecano,2-1,Atletico Madrid
Mallorca,1-1,Osasuna
Celta Vigo,0-1,Valencia
Levante,1-2,Malaga
Deportivo La Corua,0-3,Granada
Real Madrid,4-1,Sevilla FC
Sevilla FC,4-1,Celta Vigo
Granada,1-2,Mallorca
Espanyol,0-0,Real Valladolid
Malaga,0-0,Atletico Madrid
Real Sociedad,3-3,Real Betis
Real Madrid,2-1,Barcelona
Deportivo La Corua,0-0,Rayo Vallecano
Osasuna,0-1,Athletic Bilbao
Valencia,2-2,Levante
Getafe,2-0,Real Zaragoza
Levante,0-2,Osasuna
Rayo Vallecano,1-2,Real Valladolid
Celta Vigo,2-1,Granada
Atletico Madrid,1-0,Espanyol
Real Betis,3-0,Malaga
Mallorca,1-3,Getafe
Real Zaragoza,2-2,Valencia
Deportivo La Corua,1-2,Real Madrid
Barcelona,2-1,Sevilla FC
Athletic Bilbao,1-3,Real Sociedad
Real Zaragoza,0-0,Granada
Athletic Bilbao,1-0,Valencia
Levante,0-0,Getafe
Celta Vigo,1-2,Real Madrid
Atletico Madrid,0-1,Real Sociedad
Rayo Vallecano,2-0,Espanyol
Real Valladolid,1-1,Malaga
Barcelona,2-0,Deportivo La Corua
Mallorca,2-1,Sevilla FC
Real Betis,2-1,Osasuna
